registro_id,data_coleta,cidade,uf,regiao,latitude,longitude,fonte_dado,tipo_cobertura_solo,cultura,area_monitorada_ha,ndvi_anterior,ndvi_atual,umidade_solo_pct,temperatura_superficie_c,dias_sem_chuva,focos_calor_7d,risco_incendio_pct,classe_risco_incendio,producao_historica_t_ha,densidade_construcoes,expansao_urbana_ha,risco_desmatamento_pct,status_processamento,observacao
ORB-00025,2025-12-19,Marabá,PA,Norte,-5.35,-49.37,sensor_landsat,pastagem,pastagem,192.80,0.63,0.49,69.27,31.54,0,11,66.03,alto,0.92,0.08,0.00,26.75,pendente,sombra parcial
ORB-00026,2026-02-28,Barreiras,BA,Nordeste,-12.01,-44.88,sensor_landsat,agricultura,milho,"234,75",0.58,0.57,35.67,39.41,10,3,63.00,alto,7.61,0.10,0.00,NA,processado,
ORB-00027,07-27-2025,Sorriso,MT,Centro-Oeste,NA,-55.77,sensor_landsat,agricultura,milho,47.22,0.60,0.73,55.31,31.21,10,6,45.31,medio,5.58,0.16,0.00,0.00,processado,coordenada imprecisa
ORB-00028,2025-10-24,Goiânia,GO,Centro-Oeste,-16.81,-49.25,sensor_landsat,agricultura,milho,110.90,0.42,0.31,46.08,34.68,22,3,49.64,medio,6.17,0.12,"0,00",21.65,pendente,
ORB-00029,2025-07-31,Rio Branco,AC,Norte,-10.08,-67.97,base_municipal,vegetacao_nativa,nao_aplicavel,459.70,0.78,0.71,33.98,30.11,13,8,90.28,critico,0.00,0.07,0.00,27.57,processado,
ORB-00030,2026-01-05,Barreiras,BA,Nordeste,-12.23,-45.08,sensor_sentinel,urbano,nao_aplicavel,471.67,0.29,0.31,69.27,39.23,13,2,"46,04",médio,0.00,0.66,"0,00",0.00,pendente,
ORB-00031,2025-05-05,Marabá,PA,Norte,-5.25,"-49,47",base_municipal,agricultura,soja,18.11,0.36,0.42,53.68,32.82,20,4,57.66,alto,2.74,0.19,0.00,9.11,processado,registro importado manualmente
ORB-00032,2025-02-12,Uberlândia,MG,Sudeste,-18.92,-48.14,sensor_landsat,vegetacao_nativa,nao_aplicavel,212.07,0.73,"0,14",60.57,28.57,10,1,61.79,alto,0.00,0.06,0.00,"100,00",processado,
ORB-00033,2025-10-07,Cuiabá,MT,Centro-Oeste,-15.38,-56.22,sensor_sentinel,vegetacao_nativa,nao_aplicavel,26.60,0.83,0.75,34.12,38.53,20,15,97.30,critico,0.00,0.04,0.00,43.74,procesado,
ORB-00034,2025-12-23,Sorriso,mt,Centro-Oeste,-12.56,-55.76,sensor_sentinel,urbano,nao_aplicavel,145.11,0.25,0.23,"51,24",33.10,22,2,72.55,alto,0.00,0.93,7.36,0.00,procesado,
ORB-00035,2025-12-17,Altamira,PA,Norte,-3.16,-52.26,sensor_sentinel,vegetacao_nativa,nao_aplicavel,730.29,0.65,0.47,41.64,33.17,14,,66.16,alto,0.00,0.06,6.61,52.49,processado,
ORB-00036,2025-10-23,Sorriso,MT,Centro-Oeste,-12.49,-55.90,sensor_landsat,pastagem,pastagem,315.32,0.50,0.58,60.24,34.63,31,4,94.58,crítico,"0,97",0.06,0.00,7.27,processado,sombra parcial
ORB-00037,2025-07-16,Porto Velho,RO,Norte,-8.98,-63.98,sensor_sentinel,vegetacao_nativa,nao_aplicavel,120.72,0.79,0.63,51.68,34.80,11,1,53.07,alto,0.00,0.01,0.00,38.42,processado,
ORB-00038,01/08/2025,Cuiabá,MT,Centro-Oeste,-15.60,-56.06,sensor_landsat,agricultura,algodao,155.42,"0,81",0.90,51.30,31.19,9,1,45.71,medio,4.58,0.17,,"0,00",processado,
ORB-00039,2025-08-02,Marabá,PA,Norte,-5.37,-49.11,sensor_sentinel,vegetacao_nativa,nao_aplicavel,296.92,0.84,0.25,77.69,34.07,19,0,52.85,alto,NA,0.11,0.00,100.00,processado,possivel queimadura
ORB-00040,2026-01-12,Petrolina,PE,Nordeste,-9.31,-40.65,sensor_landsat,pastagem,nao_aplicavel,83.24,0.48,0.48,44.65,"34,35",17,0,47.82,medio,0.00,"0,17",0.00,15.30,processado,
ORB-00041,2025-05-21,Uberaba,MG,Sudeste,-19.52,-48.18,sensor_sentinel,agua,nao_aplicavel,122.38,0.05,0.10,63.98,32.28,19,6,50.38,alto,0.00,0.01,0.00,9.53,erro validacao,
ORB-00042,2025-11-11,Goiânia,GO,Centro-Oeste,,-49.23,sensor_sentinel,urbano,nao_aplicavel,54.33,0.27,0.32,26.12,30.25,0,3,53.40,alto,0.00,0.95,10.07,0.00,processado,
ORB-00043,08-03-2025,Barreiras,BA,Nordeste,-12.10,-45.14,Sentinel,agricultura,soja,,0.39,"0,29",44.25,33.88,2,6,"49,43",medio,2.21,0.05,0.00,"27,01",processado,registro importado manualmente
ORB-00044,2025-02-01,Uberaba,MG,Sudeste,-19.80,-47.89,sensor_sentinel,agricultura,soja,137.63,0.36,0.19,64.83,27.63,18,1,"44,29",medio,2.95,0.06,0.00,31.15,processado,
ORB-00045,2025-03-15,Rio Branco,AC,Norte,-9.90,-67.79,sensor_sentinel,agricultura,soja,206.57,0.54,0.36,62.18,33.29,11,10,62.49,alto,1.95,0.13,"0,00",20.97,processado,sombra parcial
ORB-00046,2025-05-18,Uberlândia,MG,Sudeste,-18.74,-48.27,sensor_landsat,agricultura,soja,428.05,0.36,0.27,NA,30.35,26,3,58.10,alto,1.98,0.16,0.00,8.38,processado,sombra parcial
ORB-00047,2025-04-03,Cuiabá,MT,Centro-Oeste,-15.50,-55.97,sensor_landsat,agricultura,algodao,410.75,"0,47",0.40,19.84,33.49,31,3,87.06,critico,4.35,0.13,"0,00",22.30,pendente,
ORB-00048,2025-02-03,Sorriso,MT,Centro-Oeste,-12.55,-55.62,sensor_sentinel,vegetacao_nativa,nao_aplicavel,23.84,0.78,0.72,42.83,"30,34",26,2,NA,critico,0.00,0.09,0.00,35.43,processado,coordenada imprecisa
ORB-00049,2026-02-04,Uberlândia,MG,Sudeste,-18.92,-48.24,sensor_sentinel,vegetacao_nativa,nao_aplicavel,187.81,0.82,0.52,27.69,33.76,17,0,76.68,critico,0.00,0.04,0.00,82.65,erro_validacao,
ORB-00050,2025-09-04,Cuiabá,MT,Centro-Oeste,-15.54,-55.89,sensor_sentinel,pastagem,pastagem,211.85,0.61,0.53,51.12,34.39,11,2,"40,57",medio,0.87,0.06,"0,00",28.19,pendente,
ORB-00051,2025-04-21,Palmas,TO,Norte,-10.03,-48.43,sensor_sentinel,agricultura,soja,"47,97",0.66,0.41,55.08,31.20,0,3,29.69,medio,2.58,0.12,0.00,30.55,pendente,
ORB-00052,2025-07-15,Palmas,TO,Norte,-10.29,"-48,26",sensor_sentinel,agricultura,cafe,120.75,0.41,0.47,66.77,36.78,20,4,,alto,1.15,0.14,0.00,4.50,processado,
ORB-00053,2025-07-03,Goiânia,GO,Centro-Oeste,-16.51,-49.42,sensor_sentinel,pastagem,pastagem,238.56,0.34,0.11,31.07,32.51,17,7,78.26,crítico,1.33,0.03,0.00,46.66,processado,
ORB-00054,2025-07-27,Sorriso,MT,Centro-Oeste,-12.62,-55.69,sensor_sentinel,vegetacao nat.,nao_aplicavel,532.17,0.80,0.19,10.93,36.67,24,1,90.19,critico,"0,00",0.03,0.00,100.00,processado,
ORB-00055,2025-06-18,Sinop,MT,Centro-Oeste,NA,-55.47,sensor_sentinel,vegetacao_nativa,nao_aplicavel,15.92,0.65,0.36,16.06,38.91,14,0,NA,critico,0.00,0.05,0.00,59.70,processado,sombra parcial
ORB-00056,data_invalida,Altamira,PA,Norte,-3.40,-52.21,sensor_sentinel,vegetacao_nativa,nao_aplicavel,14.28,"0,71",0.07,58.40,"34,16",5,8,72.35,alto,0.00,0.06,0.00,100.00,processado,
ORB-00057,2026-02-25,Ribeirão Preto,SP,Sudeste,-21.15,NA,sensor_landsat,agricultura,soja,390.30,0.62,0.39,55.16,"27,32",30,3,66.40,alto,3.65,0.15,0.00,24.45,pendente,coordenada imprecisa
ORB-00058,2025-10-13,Rio Branco,AC,Norte,-10.03,-67.72,sensor_sentinel,vegetacao_nativa,nao_aplicavel,111.45,0.67,0.60,,28.06,2,3,"29,16",medio,0.00,0.07,0.00,33.42,processado,
ORB-00059,2025-06-27,Ribeirão Preto,SP,Sudeste,-21.10,-47.81,sensor_sentinel,agricultura,milho,284.93,0.67,0.57,17.85,30.90,13,1,68.69,alto,"5,53",0.08,"0,00",24.39,processado,registro importado manualmente
ORB-00060,2025-10-22,Rio Branco,AC,Norte,-10.15,-67.69,sensor_sentinel,pastagem,pastagem,102.07,0.56,,56.88,30.18,16,15,76.24,critico,1.60,0.10,0.00,38.54,erro_validacao,possivel queimadura
ORB-00061,14/05/2025,Cuiabá,mt,Centro-Oeste,-15.49,-56.01,sensor_sentinel,agricultura,soja,401.76,0.55,0.36,29.90,38.04,10,1,62.24,alto,2.85,0.06,0.00,26.36,pendente,
ORB-00062,2026-03-22,Uberlândia,MG,Sudeste,-19.20,-48.61,sensor_sentinel,pastagem,pastagem,433.13,0.31,NA,48.82,NA,13,0,NA,alto,"1,51",0.12,0.00,33.22,processado,
ORB-00063,2025-05-25,Cuiabá,MT,Centro-Oeste,-15.60,-55.99,sensor_sentinel,agricultura,milho,"769,37",0.48,0.51,42.22,34.79,17,,42.74,medio,6.25,"0,12",0.00,0.00,reprocessar,
ORB-00064,2025-10-02,Porto Velho,RO,Norte,-8.59,-64.00,sensor_sentinel,agricultura,soja,13.62,0.72,0.72,59.83,31.56,33,3,,critico,"4,41",0.17,0.00,10.44,processado,coordenada imprecisa
ORB-00065,2025-02-10,Sorriso,MT,Centro-Oeste,-12.64,-55.64,sensor_sentinel,vegetacao_nativa,nao_aplicavel,51.51,0.76,0.32,32.88,31.82,13,7,81.04,critico,0.00,0.05,0.00,90.64,erro_validacao,
ORB-00066,10-11-2025,Ribeirão Preto,SP,Sudeste,-21.22,-47.79,drone_cliente,urbano,nao_aplicavel,324.79,0.19,0.16,38.67,33.64,12,1,37.69,medio,"0,00",0.91,7.00,"0,00",pendente,
ORB-00067,2025-05-05,Marabá,PA,Norte,-5.03,-48.93,base_municipal,agricultura,soja,181.20,0.55,0.64,"48,63",29.33,18,,57.54,alto,2.77,0.12,0.00,,processado,
ORB-00068,2025-09-14,Sorriso,MT,Centro-Oeste,"-12,61",-55.84,sensor_sentinel,vegetacao_nativa,nao_aplicavel,"443,45",0.80,0.77,50.73,35.94,7,1,35.77,medio,0.00,0.05,0.00,40.09,processado,registro importado manualmente
ORB-00069,2025-11-07,Cuiabá,MT,Centro-Oeste,-15.54,-56.07,base_municipal,vegetacao_nativa,nao_aplicavel,"5,84",NA,0.31,"7,81",31.31,25,18,100.00,crítico,0.00,0.09,0.00,81.85,processado,sombra parcial
ORB-00070,2026-01-05,Uberaba,MG,Sudeste,-19.74,-47.98,sensor_landsat,urbano,nao_aplicavel,33.75,0.24,0.22,40.58,30.68,17,2,49.31,medio,"0,00",0.73,8.26,NA,processado,
ORB-00071,2025-06-02,Altamira,PA,Norte,-3.22,-52.11,sensor_landsat,agricultura,soja,423.06,0.76,0.62,41.75,33.30,11,0,48.87,medio,3.30,0.14,0.00,19.50,pendente,
ORB-00072,2025-06-24,Sinop,MT,Centro-Oeste,-11.72,-55.61,sensor_sentinel,vegetacao_nativa,nao_aplicavel,86.12,"0,67",0.40,NA,31.87,11,2,65.33,alto,0.00,0.04,0.00,69.06,processado,
ORB-00073,2025-03-01,Cuiabá,MT,Centro-Oeste,-15.75,-56.21,sensor_sentinel,vegetacao_nativa,nao_aplicavel,8.19,0.82,"0,75",27.03,34.34,12,18,97.39,critico,0.00,"0,12",0.00,31.49,pendente,
ORB-00074,2025-05-13,Palmas,TO,Norte,-10.28,-48.50,sensor_sentinel,urbano,nao_aplicavel,648.11,0.30,0.21,58.00,36.31,11,0,54.40,alto,0.00,0.59,0.55,24.07,erro_validacao,possivel queimadura
ORB-00075,2025-08-11,Barreiras,BA,Nordeste,-12.13,"-44,94",sensor_landsat,agricultura,cana,78.39,0.50,0.53,39.77,31.55,22,3,71.98,alto,85.91,0.15,0.00,10.19,processado,nuvem na cena
ORB-00076,03-16-2026,Palmas,TO,Norte,-10.18,-48.30,sensor_sentinel,agricultura,soja,"258,01",0.44,0.45,89.52,33.20,13,2,45.76,medio,3.03,0.20,0.00,4.89,pendente,registro importado manualmente
ORB-00077,2025-01-27,Rio Branco,AC,Norte,-9.92,"-67,87",sensor_sentinel,vegetacao_nativa,nao_aplicavel,12.29,0.82,0.80,79.08,36.86,7,10,74.80,alto,0.00,0.09,,25.93,pendente,
ORB-00078,2025-05-22,Ribeirão Preto,SP,Sudeste,-21.31,-48.08,sensor_sentinel,agricultura,soja,237.65,0.63,0.76,31.38,26.95,7,,"55,11",alto,3.61,NA,0.00,0.00,processado,coordenada imprecisa
ORB-00079,2025-01-21,Uberaba,MG,Sudeste,-19.93,"-47,76",sensor_landsat,urbano,nao_aplicavel,320.01,0.22,"0,21",50.24,33.42,1,2,38.79,medio,0.00,,12.86,NA,processado,registro importado manualmente
ORB-00080,2025-02-02,Palmas,TO,Norte,-10.01,-48.55,Sentinel,agricultura,cafe,NA,0.38,0.48,39.70,29.03,3,0,25.96,medio,1.44,,0.00,0.00,processado,
ORB-00081,2025-03-01,Sorriso,MT,Centro-Oeste,-12.56,-55.67,sensor_landsat,vegetacao_nativa,nao_aplicavel,42.56,0.63,0.05,75.26,"34,48",28,2,68.38,alto,0.00,0.09,0.00,100.00,processado,
ORB-00082,2026-02-13,Ribeirão Preto,SP,Sudeste,-20.93,"-47,98",sensor_sentinel,urbano,nao_aplicavel,7.52,0.28,0.22,68.54,,0,3,20.02,baixo,0.00,0.55,1.95,"16,29",processado,nuvem na cena
ORB-00083,2025-09-14,Cuiabá,MT,Centro-Oeste,-15.52,-56.20,sensor_sentinel,vegetacao_nativa,nao_aplicavel,12.32,0.77,0.31,51.80,32.15,24,19,100.00,crítico,0.00,0.05,0.00,98.76,processado,
ORB-00084,2025-10-22,Goiânia,GO,Centro-Oeste,-16.54,-49.34,sensor_sentinel,urbano,nao_aplicavel,38.69,NA,0.12,43.12,32.59,13,1,61.65,alto,0.00,0.61,"14,35",14.63,reprocessar,
ORB-00085,2025-08-17,Barreiras,BA,Nordeste,-12.32,-45.22,sensor_sentinel,urbano,nao_aplicavel,2.70,"0,27",0.32,21.96,39.78,9,3,"74,94",alto,0.00,"0,82",10.58,0.00,processado,possivel queimadura
ORB-00086,2025-11-22,Cuiabá,MT,Centro-Oeste,-15.31,-55.99,sensor_sentinel,vegetacao_nativa,nao_aplicavel,97.29,0.82,NA,26.63,34.32,20,4,83.66,critico,0.00,0.07,0.00,39.38,processado,possivel queimadura
ORB-00087,2025-05-10,Porto Velho,RO,Norte,-8.94,,sensor_landsat,urbano,nao_aplicavel,237.20,0.13,"0,05",52.80,34.25,2,,47.56,medio,0.00,0.86,7.43,14.66,procesado,
ORB-00088,2025-08-13,Sinop,MT,Centro-Oeste,-11.86,-55.56,sensor_sentinel,vegetacao_nativa,nao_aplicavel,1465.97,0.81,0.80,41.90,36.63,11,5,59.43,alto,,0.10,,36.89,processado,
ORB-00089,2025-12-04,Goiânia,GO,Centro-Oeste,-16.62,-49.22,sensor_sentinel,agricultura,milho,128.57,0.57,0.45,,34.48,6,,85.27,critico,5.56,0.20,0.00,NA,processado,possivel queimadura
ORB-00090,2025-02-08,Goiânia,GO,Centro-Oeste,-16.57,-49.32,sensor_landsat,agricultura,soja,49.58,0.36,0.31,29.56,30.20,,1,64.55,alto,2.91,0.08,0.00,11.86,reprocessar,possivel queimadura
ORB-00091,2025-05-20,Uberlândia,MG,Sudeste,"-18,73",-48.33,drone_cliente,pastagem,nao_aplicavel,120.61,0.52,0.57,78.23,27.40,8,4,41.15,medio,0.00,0.07,0.00,0.00,processado,
ORB-00092,,Cuiabá,MT,Centro-Oeste,-15.65,-56.12,sensor_sentinel,agricultura,algodao,177.01,0.76,0.90,47.21,33.27,14,0,"60,04",alto,2.76,0.15,0.00,,reprocessar,possivel queimadura
ORB-00093,04-25-2025,Uberlândia,MG,Sudeste,-19.02,-48.52,drone_cliente,vegetacao nat.,nao_aplicavel,459.94,0.75,0.40,41.72,31.17,2,2,52.29,alto,0.00,0.10,0.00,NA,erro_validacao,
ORB-00094,2025-10-14,Uberlândia,MG,Sudeste,-18.66,-48.34,sensor_landsat,vegetacao_nativa,nao_aplicavel,834.97,0.72,0.42,54.39,25.47,5,1,"41,66",medio,0.00,0.10,0.00,75.02,processado,
ORB-00095,2026-03-05,Uberlândia,MG,Sudeste,-19.14,-48.07,sensor_landsat,vegetacao nat.,nao_aplicavel,110.25,0.66,0.45,57.24,30.25,8,,47.32,medio,0.00,0.11,0.00,45.03,reprocessar,
ORB-00096,data_invalida,Cuiabá,MT,Centro-Oeste,-15.62,-56.05,sensor_sentinel,agricultura,cana,142.86,0.73,0.75,33.89,33.91,19,1,64.18,alto,49.73,,0.00,0.00,processado,possivel queimadura
ORB-00097,2026-01-30,Palmas,TO,Norte,-10.33,-48.10,sensor_sentinel,agricultura,milho,NA,0.80,0.84,71.38,35.24,14,0,57.30,alto,5.88,0.05,0.00,,procesado,
ORB-00098,2025-03-30,Ribeirão Preto,SP,Sudeste,"-21,19",-47.83,sensor_sentinel,agricultura,milho,"258,16",0.67,0.82,34.10,32.68,0,8,61.40,alto,5.96,0.19,0.00,0.00,processado,
ORB-00099,2026-01-21,Uberlândia,MG,Sudeste,-18.81,-48.13,LANDSAT,agricultura,cafe,117.95,0.42,0.33,"47,28",32.37,14,13,76.71,critico,"1,95",0.12,0.00,4.24,processado,nuvem na cena
ORB-00100,2025-07-10,Marabá,PA,Norte,NA,-48.84,sensor_sentinel,vegetacao_nativa,nao_aplicavel,954.65,0.76,0.72,62.33,32.87,20,3,73.69,alto,0.00,0.08,0.00,20.65,processado,
ORB-00101,2026-02-10,Marabá,PA,Norte,"-5,20","-49,18",sensor_sentinel,vegetacao_nativa,nao_aplicavel,1036.81,0.75,0.70,51.97,32.76,0,1,"52,61",alto,0.00,0.05,4.65,28.35,processado,
ORB-00102,24/06/2025,Sorriso,MT,Centro-Oeste,-12.42,-55.72,sensor_sentinel,urbano,nao_aplicavel,195.56,0.23,0.13,"50,66",35.92,0,1,25.31,medio,0.00,NA,4.45,29.44,erro_validacao,
ORB-00103,2025-04-19,Sorriso,MT,Centro-Oeste,-12.84,-55.62,base_municipal,vegetacao_nativa,nao_aplicavel,250.67,0.87,0.83,52.90,,12,4,,alto,0.00,0.02,0.00,34.22,pendete,sombra parcial
ORB-00104,,Marabá,PA,Norte,-5.41,-49.03,sensor_landsat,urbnao,nao_aplicavel,79.47,0.19,0.12,57.32,34.91,8,2,"57,31",alto,0.00,0.64,12.82,14.08,processado,registro importado manualmente
ORB-00105,2025-06-24,Uberaba,MG,Sudeste,-19.72,-48.08,sensor_sentinel,vegetacao_nativa,nao_aplicavel,403.87,"0,71",0.62,49.82,31.21,29,0,64.31,alto,0.00,0.06,"0,00",25.09,processado,coordenada imprecisa
ORB-00106,2025-12-14,Rio Branco,AC,Norte,-9.93,-67.91,sensor_sentinel,agricultura,cana,101.24,0.56,0.41,48.64,35.17,17,2,68.60,alto,"82,50",,0.00,34.45,processado,
ORB-00107,2025-08-11,Goiânia,GO,Centro-Oeste,-16.77,"-49,33",base_municipal,vegetacao_nativa,nao_aplicavel,623.25,0.69,0.67,37.45,"31,58",22,8,80.04,critico,0.00,0.04,0.00,36.24,reprocessar,possivel queimadura
ORB-00108,2025-02-12,Porto Velho,RO,Norte,-8.96,-63.95,sensor_landsat,vegetacao_nativa,nao_aplicavel,58.59,0.66,0.45,46.51,30.66,9,,63.97,alto,0.00,0.10,0.00,54.83,processado,
ORB-00109,2025-11-19,Barreiras,BA,Nordeste,-12.36,-45.03,base_municipal,agricultura,soja,36.71,"0,62",0.43,67.12,"39,49",18,7,64.04,alto,2.05,0.11,4.49,31.80,processado,coordenada imprecisa
ORB-00110,2025-08-10,Marabá,PA,Norte,-5.53,-49.47,sensor_sentinel,vegetacao_nativa,nao_aplicavel,117.97,0.64,0.11,37.69,"35,91",12,7,78.42,critico,,0.10,"0,00",100.00,processado,
ORB-00111,2025-06-07,Uberlândia,MG,Sudeste,"-18,73",,drone_cliente,vegetacao_nativa,nao_aplicavel,"277,25",0.65,"0,62",33.93,31.87,5,1,46.81,médio,NA,0.09,"0,00",15.45,procesado,
ORB-00112,2025-01-07,Sinop,MT,Centro-Oeste,-11.80,-55.43,Sentinel,pastagem,pastagem,225.13,0.39,0.17,27.20,,11,11,82.84,critico,1.02,0.10,NA,41.59,processado,
ORB-00113,2025-09-16,Palmas,TO,Norte,-10.03,-48.47,sensor_sentinel,vegetacao_nativa,nao_aplicavel,111.74,0.76,0.68,,32.20,13,10,62.40,alto,0.00,0.04,0.00,30.49,processado,sombra parcial
ORB-00114,2025-02-11,Marabá,PA,Norte,-5.26,-49.04,sensor_sentinel,pastagem,pastagem,547.25,0.38,0.15,"67,11",35.32,0,5,41.63,medio,1.24,"0,17",0.00,39.35,processado,
ORB-00115,data_invalida,Palmas,TO,Norte,-10.34,-48.49,sensor_sentinel,vegetacao_nativa,nao_aplicavel,90.43,0.64,0.43,35.19,28.09,,4,46.24,medio,0.00,0.12,0.00,56.97,processado,registro importado manualmente
ORB-00116,2025-02-24,Uberlândia,MG,Sudeste,-18.79,-48.13,drone_cliente,urbano,nao_aplicavel,41.11,0.28,0.18,77.67,29.48,24,22,100.00,critico,0.00,0.91,NA,18.24,processado,
ORB-00117,2025-05-21,Petrolina,PE,Nordeste,-9.24,-40.34,sensor_sentinel,pastagem,pastagem,84.89,0.53,0.49,69.24,31.96,19,1,69.90,alto,1.23,0.07,0.00,5.39,processado,registro importado manualmente
